Date,Open,High,Low,Close,Adj Close,Volume
2023-07-28,35.060001,35.450001,34.740002,35.060001,34.385693,3134177
2023-07-31,null,null,null,null,null,null
2023-08-01,null,null,null,null,null,null
2023-08-02,null,null,null,null,null,null
2023-08-03,39.810001,45.250000,39.799999,44.720001,43.859898,46153550
2023-08-04,46.689999,48.290001,44.450001,45.139999,44.271816,30139390
2023-08-07,45.900002,50.619999,45.700001,49.790001,48.832386,31355370
2023-08-08,51.209999,52.000000,49.380001,50.290001,49.322773,28540790
2023-08-09,50.000000,50.070000,48.049999,48.980000,48.037964,11054610
2023-08-10,48.869999,50.250000,48.869999,49.410000,48.459694,10478380
2023-08-11,49.709999,50.090000,48.450001,48.860001,47.920273,4355163
2023-08-14,48.860001,51.299999,44.900002,50.900002,49.921040,15832130
2023-08-16,50.900002,52.709999,50.369999,51.189999,50.205460,19505700
2023-08-17,50.000000,50.000000,46.700001,47.700001,46.782581,9966635
2023-08-18,47.299999,48.990002,46.380001,47.240002,46.331432,15181550
2023-08-21,48.060001,48.369999,47.450001,47.730000,46.812008,5082860
2023-08-22,48.099998,48.200001,47.650002,47.820000,46.900276,2559968
2023-08-23,47.900002,48.130001,47.570000,47.740002,46.821815,1972100
2023-08-24,47.950001,50.250000,47.900002,48.580002,47.645660,6727974
2023-08-25,48.650002,49.200001,48.099998,48.430000,47.498543,2229721
2023-08-28,48.660000,49.250000,48.500000,48.700001,47.763351,4925915
2023-08-29,49.000000,50.849998,48.910000,49.490002,48.538158,12234820
2023-08-30,50.099998,50.779999,49.650002,49.830002,48.871620,3274327
2023-08-31,50.160000,50.500000,49.770000,50.209999,49.244308,4889774
2023-09-01,50.430000,56.540001,50.099998,55.650002,54.579685,29205700
2023-09-04,57.200001,66.779999,57.200001,66.660004,65.377930,37961240
2023-09-05,69.610001,75.720001,69.550003,72.279999,70.889832,37982670
2023-09-06,73.750000,73.900002,67.230003,68.690002,67.368889,24725780
2023-09-07,68.809998,74.500000,68.199997,73.169998,71.762718,15717240
2023-09-08,74.650002,78.000000,74.650002,77.059998,75.577896,26282460
